"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Days_to_Closing__c","keep","62266.0","False","DOUBLE(Formula)","Days to Closing"
"Dealer_OEM_Friendly__c","keep","1648.0","False","STRING(Formula)","Dealer/OEM (Friendly Account Name)"
"Dealer_OEM_Province__c","remove_zero_populated_not_required","0.0","False","STRING","Dealer/OEM Province"
"Decentralization_from_Current_Customer__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Decentralization from Current Customer?"
"Delivery_Terms__c","keep","600.0","False","STRING","Delivery Terms"
"Demo_Approver__c","remove_zero_populated_not_required","0.0","False","ID","Demo Approver"
"Demo_Approver_is_Me__c","keep","62266.0","True","BOOLEAN(Formula)","Demo Approver is Me"
"Demo_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Demo Date"
"Demo_Details__c","remove_zero_populated_not_required","0.0","False","STRING","Demo Details"
"Demo_Location__c","remove_zero_populated_not_required","0.0","False","STRING","Demo Location"
"Demo_Requested__c","remove_zero_populated_not_required","0.0","False","STRING","Demo Requested"
"Demo_Status__c","remove_zero_populated_not_required","0.0","False","STRING","Demo Status"
"Deviation_Annual__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Deviation: Annual"
"Deviation_One_Off__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Deviation: One-Off"
"Dimension_1__c","keep","20.0","False","STRING","Dimension 1"
"Dimension_2__c","keep","19.0","False","STRING","Dimension 2"
"Dimension_3__c","keep","19.0","False","STRING","Dimension 3"
"Dimension_4__c","keep","19.0","False","STRING","Dimension 4"
"Dimension_5__c","keep","19.0","False","STRING","Dimension 5"
"Discovery_Completed__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Discovery Completed"
"Distribution_Channel__c","keep","58078.0","False","STRING","Distribution Channel"
"Division__c","remove_zero_populated_not_required","0.0","False","STRING(Formula)","Division"
"Documents_Required__c","keep","48.0","False","STRING","Documents Required"
"Earliest_Schedule_Date__c","keep","31654.0","False","DATE","Earliest Schedule Date"
"End_Customer__c","keep","58945.0","False","ID","End Customer"
"End_Date_of_Contract__c","remove_zero_populated_not_required","0.0","False","DATE","End Date of Contract"
"EquipmentConfiguration_List_Complete__c","keep","26.0","False","BOOLEAN","EquipmentConfiguration List Complete"
"Estimated_Recurring_Annual_Profit__c","keep","61315.0","False","DOUBLE(Formula)","Estimated Recurring Annual Profit"
"Estimated_Recurring_Annual_Revenue__c","keep","61315.0","False","DOUBLE(Formula)","Estimated Recurring Annual Revenue"
"Estimated_Recurring_Monthly_Profit__c","keep","61315.0","False","DOUBLE(Formula)","Estimated Recurring Monthly Profit"
"Estimated_Recurring_Monthly_Revenue__c","keep","61315.0","False","DOUBLE(Formula)","Estimated Recurring Monthly Revenue"
"Estimated_Recurring_Total_Profit__c","keep","62264.0","False","DOUBLE","Estimated Recurring Total Profit"
"Estimated_Recurring_Total_Revenue__c","keep","62264.0","False","DOUBLE","Estimated Recurring Total Revenue"
"Evaluation_Period_End_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Evaluation Period End Date"
"Evaluation_Period_Start_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Evaluation Period Start Date"
"Existing_Annualized_Revenue__c","keep","1.0","False","DOUBLE","Existing Annualized Revenue"
